NAME,G
Abel,M
Abella,F
Acel,M
Aceline,F
Adalene,F
Adalicia,F
Adalie,F
Adaliz,F
Adalyn,F
Addie,F
Adela,F
Adelaide,F
Adele,F
Adelia,F
Adelina,F
Adeline,F
Adelisa,F
Adelise,F
Adelle,F
Adelynn,F
Adilene,F
Adorlee,F
Adreanna,F
Adriane,F
Adrianna,F
Adrianne,F
Adrien,M
Adriene,F
Adrienne,F
Advent,M
Afrodille,F
Agathe,F
Agrican,M
Aida,F
Aiglentina,F
Aiglentine,F
Aimee,F
Alain,M
Alaine,F
Alair,F
Albaric,M
Albert,M
Albertina,F
Aldrich,M
Aldrick,M
Aleron,M
Alexandre,M
Alexandrine,F
Alexis,F
Alfred,M
Algrenon,M
Alhertine,F
Alisanne,F
Alita,F
Alix,F
Alixandra,F
Allaire,F
Alleffra,F
Allete,F
Allison,F
Allyson,F
Aloin,M
Alsatia,F
Aluin,M
Alyson,F
Alyssandra,F
Amabella,F
Amabelle,F
Amalie,F
Amarante,F
Amata,F
Amaud,M
Amaury,M
Ambra,F
Ambre,F
Ambroise,M
Amedee,F
Amelie,F
Ames,M
Ami,F
Amia,F
Amie,F
Amite,F
Amitee,F
Amity,F
Amo,M
Amou,M
Amoux,M
Amy,F
Ancelin,F
Ancelina,F
Ancil,M
Andre,M
Andrea,F
Andree,F
Andy,M
Ange,F
Angela,F
Angeletta,F
Angelette,F
Angelika,F
Angelina,F
Angeline,F
Angelique,F
Angilia,F
Anne,F
Annette,F
Ansel,M
Ansell,M
Anselme,M
Antoine,M
Antoinette,F
Apollina,F
Apolline,F
Aramis,M
Arber,M
Arcene,F
Archaimbaud,M
Archambault,M
Archard,M
Archenhaud,M
Archer,M
Ariane,F
Ariele,F
Arielle,F
Arjean,F
Arleta,F
Arletta,F
Arlette,F
Armand,M
Arnaud,M
Aron,M
Artus,M
Auberta,F
Aubin,M
Aubina,F
Aubine,F
Aubree,F
Aubrey,F
Aubrey,M
Aubriana,F
Aubrianne,F
Aubrie,F
Aubry,F
Aubry,M
Auda,F
Aude,F
Audra,F
Audree,F
Audric,M
Augustin,M
Auhert,M
Aurelien,M
Auriville,M
Aurore,F
Austen,M
Austin,M
Austina,F
Austine,F
Austyn,M
Avelaine,F
Aveline,F
Avenall,M
Aveneil,M
Avenelle,M
Avent,M
Avery,M
Avice,F
Azura,F
Azure,F
Azurine,F
Babette,F
Bailee,F
Bailey,F
Bailey,M
Baptiste,M
Barnabe,M
Baron,M
Barrie,M
Barry,M
Barthelemy,M
Bartlett,M
Basile,M
Bay,M
Bayard,M
Baylee,F
Baylen,M
Bayley,M
Bayley,F
Baylie,F
Beal,M
Beale,M
Beall,M
Beau,M
Beaufort,M
Beauvais,M
Bel,F
Belda,F
Bell,M
Bellamy,M
Belle,F
Benjamin,M
Benoit,M
Berangaria,F
Berdine,F
Berenice,F
Bernadea,F
Bernadette,F
Bernadina,F
Bernadine,F
Bernard,M
Bernarda,F
Berneen,F
Bernelle,F
Bernetta,F
Bernette,F
Bernice,F
Berniss,F
Bernita,F
Bernyce,F
Berthe,F
Bertram,M
Bertrand,M
Bette,F
Bettine,F
Bevis,M
Blais,M
Blaisdell,M
Blaise,M
Blaize,M
Blanch,F
Blanche,F
Blanchefleur,F
Blase,M
Blayze,M
Blaze,M
Blondell,F
Blondelle,F
Blondene,F
Bonnie,F
Bonny,F
Boone,M
Boyce,M
Bret,F
Brett,F
Bretta,F
Brettany,F
Brette,F
Brice,M
Bridgett,F
Bridgette,F
Brigette,F
Brigitte,F
Bruce,M
Brucie,F
Brunella,F
Brunelle,M
Bruno,M
Bryant,M
Brys,M
Buiron,M
Burcet,M
Burdett,M
Burdette,M
Burel,M
Burkett,M
Burnell,M
Burrell,M
Byron,M
Cadence,F
Cadencia,F
Caine,M
Calandre,F
Calantha,F
Calanthe,F
Camila,F
Camile,F
Camilla,F
Camillei,F
Cammi,F
Campbell,M
Candide,F
Capucina,F
Capucine,F
Carel,M
Caress,F
Caressa,F
Caresse,F
Carina,F
Carine,F
Carlo,M
Carlos,M
Carlotta,F
Carnation,F
Carol,F
Carola,F
Carole,F
Carolina,F
Caroline,F
Carolos,M
Carolus,M
Carressa,F
Carvell,M
Cateline,F
Cearbhall,M
Cecile,F
Cecille,F
Celesse,F
Celeste,F
Celestia,F
Celestiel,F
Celestine,F
Celestyna,F
Celie,F
Celine,F
Cendrillon,F
Cerise,F
Chance,M
Chandler,M
Chane,M
Chanel,F
Chanell,F
Chanelle,F
Chaney,M
Chanler,M
Channelle,F
Channing,M
Chantae,F
Chantal,F
Chantalle,F
Chantay,F
Chante,F
Chantel,F
Chantell,F
Chantelle,F
Chantrell,F
Chapin,M
Chappel,M
Chappell,M
Chardae,F
Charee,F
Charlaine,F
Charlayne,F
Charleen,F
Charleena,F
Charlena,F
Charlene,F
Charles,M
Charlette,F
Charline,F
Charlisa,F
Charlita,F
Charlot,M
Charlotta,F
Charlotte,F
Charmain,F
Charmaine,F
Charmayne,F
Charmine,F
Chaunce,M
Chauncey,M
Chauncy,M
Chaunte,F
Chauntel,F
Chayne,M
Chenelle,F
Cheney,M
Cher,F
Chere,F
Cheree,F
Chereen,F
Cherell,F
Cherelle,F
Cheri,F
Cherie,F
Cherina,F
Cherine,F
Cherise,F
Cherita,F
Cherree,F
Cherrelle,F
Cherry,F
Cheval,M
Chevalier,M
Chevell,M
Chevy,M
Cheyanna,F
Cheyanne,F
Cheyenne,F
Cheyne,M
Chiana,F
Chianna,F
Choncey,M
Christian,M
Christiane,F
Christien,M
Christine,F
Christofor,M
Christophe,M
Cinderella,F
Clair,F
Claire,F
Clara,F
Clare,F
Clarette,F
Claribel,F
Clarice,F
Clarinda,F
Clarisse,F
Clarita,F
Claude,M
Claudette,F
Claudine,F
Clemence,F
Clement,M
Clementina,F
Clementine,F
Clovis,M
Coco,F
Colan,M
Colbert,M
Colbey,M
Coletta,F
Colette,F
Colin,M
Colletta,F
Collette,F
Collin,M
Collins,M
Colyn,M
Comfort,F
Comforte,F
Constance,F
Constancia,F
Constant,M
Coralie,F
Corben,M
Corbett,M
Corbin,M
Corby,M
Corbyn,M
Coretta,F
Corette,F
Corinne,F
Cort,M
Cortland,M
Cortney,F
Corvin,M
Cosette,F
Court,M
Courtenay,M
Courtland,M
Courtlyn,F
Courtnay,M
Courtney,M
Courtney,F
Coyan,M
Coyne,M
Creissant,F
Crescent,F
Cretien,M
Curcio,M
Curt,M
Curtice,M
Curtis,M
Curtiss,M
Cyprien,M
Cyrano,M
Cyril,M
Dace,M
Dacey,M
Dacian,M
Daine,M
Daisi,F
Damia,F
Damiana,F
Damiane,F
Damien,F
Damien,M
Daniel,M
Danton,M
Darcel,M
Darcel,F
Darcell,F
Darcell,M
Darcelle,F
Darcey,F
Darchelle,F
Darci,F
Darcia,F
Darcie,F
Darcio,M
Darcy,M
Darcy,F
D'Arcy,F
D'Arcy,M
Dareau,M
Dariel,M
Dariell,M
Darrell,M
Darroll,M
Dartagnan,M
Darvell,M
Daveney,F
Davet,M
David,M
Davin,M
Dax,M
Dayne,M
Del,M
Delaine,M
Delancy,M
Delane,M
Delaney,M
Delano,M
Delight,F
Delit,F
Delmar,M
Delmare,F
Delmer,M
Delmon,M
Delmont,M
Delmore,M
Delphine,F
Delray,M
Delrick,M
Delrico,M
Delron,M
Delroy,M
Denice,F
Deniece,F
Denis,M
Denise,F
Denisha,F
Denissa,F
Denisse,F
Dennet,M
Dennis,M
Dennise,F
Denver,M
Denys,M
Denyse,F
Deon,M
Derell,M
Derrall,M
Derrell,M
Derrill,M
Desarae,F
Desaree,F
Desideria,F
Desirae,F
Desirat,F
Desire,F
Desire,M
Desiree,F
Destan,M
Destanee,F
Destin,M
Destine,F
Destinee,F
Destini,F
Destinie,F
Destiny,F
Deston,M
Destrey,M
Destrie,M
Destry,M
Devan,F
Devana,F
Devanna,F
Deveral,M
Devere,M
Devereau,M
Devereaux,M
Deverel,M
Deverell,M
Deverick,M
Devery,M
Devin,M
Devin,F
Devona,F
Devondra,F
Devonna,F
Devonne,F
Devry,M
Devyn,F
Devynn,F
Dezirae,F
Deziree,F
Di,F
Diahann,F
Diahna,F
Diamanta,F
Dian,F
Diana,F
Diandra,F
Diandre,M
Diane,F
Dianna,F
Diannah,F
Dianne,F
Didier,M
Dilan,M
Dillen,M
Dillon,M
Dimitri,M
Dion,M
Diondre,M
Dionte,M
Dior,F
Dix,M
Dixie,F
Domenique,F
Dominique,F
Dominique,M
Donatien,M
Dondre,M
D'or,F
Dore,F
Doreen,F
Dorene,F
Dorine,F
Dory,F
Drago,M
Dru,M
Dumont,M
Duran,M
Durand,M
Durango,M
Durant,M
Durante,M
Dureau,M
Duron,M
Durrant,M
Duval,M
Dyana,F
Dyann,F
Dyanna,F
Edgard,M
Edmee,F
Edmon,M
Edmond,M
Edmund,M
Edmundo,M
Edouard,M
Eduard,M
Eglantina,F
Eglantine,F
Elaina,F
Elaine,F
Elayna,F
Eleanor,F
Eleonore,F
Eleta,F
Eliane,F
Elicia,F
Elienor,F
Elinore,F
Eliot,M
Eliott,M
Elisa,F
Elisabeth,F
Elisamarie,F
Elise,F
Elisha,F
Elishia,F
Elita,F
Eliza,F
Ella,F
Ellaine,F
Ellayne,F
Ellinor,F
Elliot,M
Eloisa,F
Eloise,F
Eloisee,F
Eloy,M
Emeline,F
Emeraude,F
Emile,M
Emmaline,F
Emmalyn,F
Emmeline,F
Emmy,F
Eric,M
Eriq,M
Ernest,M
Esme,F
Esmeraude,F
Esperanza,F
Estee,F
Estelle,F
Etienne,M
Eugene,M
Eugenia,F
Eugenie,F
Eulalie,F
Evelyn,F
Evon,F
Evonna,F
Evonne,F
Evony,F
Fabien,M
Fabienne,F
Fabrice,M
Fae,F
Fanchon,F
Fanchone,F
Fanetta,F
Fanette,F
Fantina,F
Fantine,F
Faun,F
Fauna,F
Faunia,F
Favor,F
Fawnia,F
Fay,F
Fayanna,F
Faye,F
Fayette,F
Fayme,F
Fealty,F
Felecia,F
Felicia,F
Felicienne,F
Felicity,F
Felix,M
Fernand,M
Fifi,F
Fifine,F
Filicia,F
Firman,M
Fitz,M
Fitzgerald,M
Fitzhugh,M
Fitzpatrick,M
Fletcher,M
Fleur,F
Fleurette,F
Florentin,M
Floressa,F
Floretta,F
Flori,F
Floria,F
Florian,M
Floriana,F
Florida,F
Florinda,F
Florrie,F
Florus,M
Fontaine,M
Fontane,M
Fontanne,F
Fontayne,M
Fonteyne,M
Forrest,M
Fortun,M
Fortune,M
France,F
Francena,F
Francene,F
Francille,F
Francina,F
Francine,F
Francois,M
Francoise,F
Frank,M
Frankie,M
Franky,M
Frederic,M
Freman,M
Fremont,M
Gabrielle,F
Gace,M
Gaetan,M
Gaetana,F
Gaetane,F
Gala,F
Galatee,F
Galla,F
Gallia,F
Garan,M
Gard,M
Gardiner,M
Gardner,M
Garen,M
Garin,M
Garion,M
Garlan,M
Garland,M
Garland,F
Garlen,M
Garlyn,M
Garnell,M
Garner,M
Garnet,M
Garnet,F
Garon,M
Garren,M
Garrin,M
Garron,M
Gascon,M
Gaspar,M
Gaspard,M
Gaston,M
Gaston,M
Gauthier,M
Gautier,M
Gay,F
Geffrey,M
Gemma,F
Geneva,F
Geneve,F
Genevie,F
Genevieve,F
Genevre,F
Genivee,F
Geoff,M
Geoffrey,M
Geoffroy,M
Georges,M
Georgette,F
Georgine,F
Georgitte,F
Gerald,M
Gerard,M
Germain,M
Germain,F
Germaine,F
Germana,F
Germano,M
Geron,M
Gerrard,M
Gifford,M
Gil,M
Gilbert,M
Gill,M
Gilles,M
Gisella,F
Giselle,F
Granville,M
Gregoire,M
Grenville,M
Grosvenor,M
Guifford,M
Guillaume,M
Gustav,M
Gustave,M
Guy,M
Halette,F
Hamilton,M
Hanrietta,F
Hanriette,F
Harbin,M
Harcourt,M
Hardouin,M
Harman,M
Harmen,M
Harmon,M
Harriet,F
Harriett,F
Harrietta,F
Harriette,F
Hedvige,F
Helaine,F
Helene,F
Heloise,F
Henri,M
Henrietta,F
Henriette,F
Henry,M
Herbert,M
Herve,M
Hettie,F
Hilaire,F
Holly,F
Honore,F
Hubert,M
Huette,F
Hugette,F
Hugh,M
Huguetta,F
Hyacinthe,M
Ignace,M
Ila,F
Isaak,M
Isabeau,F
Isidore,M
Iva,F
Iven,M
